Url,Title
https://fr.wikipedia.org/w/index.php?title=William_Cleveland&action=edit&redlink=1,William Cleveland (page inexistante)
https://fr.wikipedia.org/wiki/International_Statistical_Review,International Statistical Review
https://fr.wikipedia.org/wiki/Serge_Abiteboul,Serge Abiteboul
https://fr.wikipedia.org/wiki/Librairie_Arth%C3%A8me_Fayard,Librairie Arthème Fayard
http://books.openedition.org/cdf/529,
https://fr.wikipedia.org/wiki/O%27Reilly_Media,O'Reilly Media
https://fr.wikipedia.org/wiki/International_Standard_Book_Number,International Standard Book Number
https://fr.wikipedia.org/wiki/Sp%C3%A9cial:Ouvrages_de_r%C3%A9f%C3%A9rence/978-1-4493-5865-5,Spécial:Ouvrages de référence/978-1-4493-5865-5
https://fr.wikipedia.org/w/index.php?title=Science_des_donn%C3%A9es&veaction=edit&section=10,Modifier la section : Articles connexes
https://fr.wikipedia.org/w/index.php?title=Science_des_donn%C3%A9es&action=edit&section=10,Modifier le code source de la section : Articles connexes
https://fr.wikipedia.org/wiki/Apprentissage_automatique,Apprentissage automatique
https://fr.wikipedia.org/wiki/Big_data,Big data
https://fr.wikipedia.org/wiki/%C3%89conom%C3%A9trie,Économétrie
https://fr.wikipedia.org/wiki/Intelligence_artificielle,Intelligence artificielle
https://fr.wikipedia.org/wiki/Interop%C3%A9rabilit%C3%A9,Interopérabilité
https://fr.wikipedia.org/wiki/Kaggle,Kaggle
https://fr.wikipedia.org/wiki/M%C3%A9tadonn%C3%A9e,Métadonnée
https://fr.wikipedia.org/wiki/M%C3%A9thodologie_politique,Méthodologie politique
https://fr.wikipedia.org/wiki/Ontologie_(informatique),Ontologie (informatique)
https://fr.wikipedia.org/wiki/Qualit%C3%A9_des_donn%C3%A9es,Qualité des données
https://fr.wikipedia.org/w/index.php?title=Sociologie_quantitative&action=edit&redlink=1,Sociologie quantitative (page inexistante)
https://fr.wikipedia.org/wiki/Visualisation_de_donn%C3%A9es,Visualisation de données
https://fr.wikipedia.org/w/index.php?title=Science_des_donn%C3%A9es&veaction=edit&section=11,Modifier la section : Liens externes
https://fr.wikipedia.org/w/index.php?title=Science_des_donn%C3%A9es&action=edit&section=11,Modifier le code source de la section : Liens externes
http://www.jds-online.com/,
http://www.codata.org/dsj/,
https://fr.wikipedia.org/wiki/Mod%C3%A8le:Palette_Big_data,Modèle:Palette Big data
https://fr.wikipedia.org/w/index.php?title=Mod%C3%A8le:Palette_Big_data&action=edit,
https://fr.wikipedia.org/wiki/Big_data,Big data
https://fr.wikipedia.org/wiki/Algorithme_de_fouille_de_flots_de_donn%C3%A9es,Algorithme de fouille de flots de données
https://fr.wikipedia.org/wiki/Analyse_des_donn%C3%A9es,Analyse des données
https://fr.wikipedia.org/wiki/Parall%C3%A9lisme_(informatique),Parallélisme (informatique)
https://fr.wikipedia.org/wiki/Centre_de_donn%C3%A9es,Centre de données
https://fr.wikipedia.org/wiki/Cloud_computing,Cloud computing
https://fr.wikipedia.org/wiki/Opinion_mining,Opinion mining
https://fr.wikipedia.org/wiki/Opt_in,Opt in
https://fr.wikipedia.org/wiki/Opt-out_(marketing),Opt-out (marketing)
